value,value_label,cohort,variable,variable_label
,.u=unmarried,HRS,s2dsrc,s2dsrc: s death date source
,.v=spouse nr,HRS,s2dsrc,s2dsrc: s death date source
,.x=no death date,HRS,s2dsrc,s2dsrc: s death date source
1,1.respondent's exit interview,HRS,s3dsrc,s3dsrc: s death date source
2,2.core interview of respondent's spouse/partner,HRS,s3dsrc,s3dsrc: s death date source
3,3.date respondent was reported deceased during field activity,HRS,s3dsrc,s3dsrc: s death date source
4,4.imputed date,HRS,s3dsrc,s3dsrc: s death date source
,.m=missing death source,HRS,s3dsrc,s3dsrc: s death date source
,.u=unmarried,HRS,s3dsrc,s3dsrc: s death date source
,.v=spouse nr,HRS,s3dsrc,s3dsrc: s death date source
,.x=no death date,HRS,s3dsrc,s3dsrc: s death date source
1,1.respondent's exit interview,HRS,s4dsrc,s4dsrc: s death date source
2,2.core interview of respondent's spouse/partner,HRS,s4dsrc,s4dsrc: s death date source
3,3.date respondent was reported deceased during field activity,HRS,s4dsrc,s4dsrc: s death date source
4,4.imputed date,HRS,s4dsrc,s4dsrc: s death date source
,.m=missing death source,HRS,s4dsrc,s4dsrc: s death date source
,.u=unmarried,HRS,s4dsrc,s4dsrc: s death date source
,.v=spouse nr,HRS,s4dsrc,s4dsrc: s death date source
,.x=no death date,HRS,s4dsrc,s4dsrc: s death date source
1,1.respondent's exit interview,HRS,s5dsrc,s5dsrc: s death date source
2,2.core interview of respondent's spouse/partner,HRS,s5dsrc,s5dsrc: s death date source
3,3.date respondent was reported deceased during field activity,HRS,s5dsrc,s5dsrc: s death date source
4,4.imputed date,HRS,s5dsrc,s5dsrc: s death date source
,.m=missing death source,HRS,s5dsrc,s5dsrc: s death date source
,.u=unmarried,HRS,s5dsrc,s5dsrc: s death date source
,.v=spouse nr,HRS,s5dsrc,s5dsrc: s death date source
,.x=no death date,HRS,s5dsrc,s5dsrc: s death date source
1,1.respondent's exit interview,HRS,s6dsrc,s6dsrc: s death date source
2,2.core interview of respondent's spouse/partner,HRS,s6dsrc,s6dsrc: s death date source
3,3.date respondent was reported deceased during field activity,HRS,s6dsrc,s6dsrc: s death date source
4,4.imputed date,HRS,s6dsrc,s6dsrc: s death date source
,.m=missing death source,HRS,s6dsrc,s6dsrc: s death date source
,.u=unmarried,HRS,s6dsrc,s6dsrc: s death date source
,.v=spouse nr,HRS,s6dsrc,s6dsrc: s death date source
,.x=no death date,HRS,s6dsrc,s6dsrc: s death date source
1,1.respondent's exit interview,HRS,s7dsrc,s7dsrc: s death date source
2,2.core interview of respondent's spouse/partner,HRS,s7dsrc,s7dsrc: s death date source
3,3.date respondent was reported deceased during field activity,HRS,s7dsrc,s7dsrc: s death date source
4,4.imputed date,HRS,s7dsrc,s7dsrc: s death date source
,.m=missing death source,HRS,s7dsrc,s7dsrc: s death date source
,.u=unmarried,HRS,s7dsrc,s7dsrc: s death date source
,.v=spouse nr,HRS,s7dsrc,s7dsrc: s death date source
,.x=no death date,HRS,s7dsrc,s7dsrc: s death date source
1,1.respondent's exit interview,HRS,s8dsrc,s8dsrc: s death date source
2,2.core interview of respondent's spouse/partner,HRS,s8dsrc,s8dsrc: s death date source
3,3.date respondent was reported deceased during field activity,HRS,s8dsrc,s8dsrc: s death date source
4,4.imputed date,HRS,s8dsrc,s8dsrc: s death date source
,.m=missing death source,HRS,s8dsrc,s8dsrc: s death date source
,.u=unmarried,HRS,s8dsrc,s8dsrc: s death date source
,.v=spouse nr,HRS,s8dsrc,s8dsrc: s death date source
,.x=no death date,HRS,s8dsrc,s8dsrc: s death date source
1,1.respondent's exit interview,HRS,s9dsrc,s9dsrc: s death date source
2,2.core interview of respondent's spouse/partner,HRS,s9dsrc,s9dsrc: s death date source
3,3.date respondent was reported deceased during field activity,HRS,s9dsrc,s9dsrc: s death date source
4,4.imputed date,HRS,s9dsrc,s9dsrc: s death date source
,.m=missing death source,HRS,s9dsrc,s9dsrc: s death date source
,.u=unmarried,HRS,s9dsrc,s9dsrc: s death date source
,.v=spouse nr,HRS,s9dsrc,s9dsrc: s death date source
,.x=no death date,HRS,s9dsrc,s9dsrc: s death date source
1,1.respondent's exit interview,HRS,s10dsrc,s10dsrc: s death date source
2,2.core interview of respondent's spouse/partner,HRS,s10dsrc,s10dsrc: s death date source
3,3.date respondent was reported deceased during field activity,HRS,s10dsrc,s10dsrc: s death date source
4,4.imputed date,HRS,s10dsrc,s10dsrc: s death date source
,.m=missing death source,HRS,s10dsrc,s10dsrc: s death date source
,.u=unmarried,HRS,s10dsrc,s10dsrc: s death date source
,.v=spouse nr,HRS,s10dsrc,s10dsrc: s death date source
,.x=no death date,HRS,s10dsrc,s10dsrc: s death date source
1,1.respondent's exit interview,HRS,s11dsrc,s11dsrc: s death date source
2,2.core interview of respondent's spouse/partner,HRS,s11dsrc,s11dsrc: s death date source
3,3.date respondent was reported deceased during field activity,HRS,s11dsrc,s11dsrc: s death date source
4,4.imputed date,HRS,s11dsrc,s11dsrc: s death date source
,.m=missing death source,HRS,s11dsrc,s11dsrc: s death date source
,.u=unmarried,HRS,s11dsrc,s11dsrc: s death date source
,.v=spouse nr,HRS,s11dsrc,s11dsrc: s death date source
,.x=no death date,HRS,s11dsrc,s11dsrc: s death date source
1,1.respondent's exit interview,HRS,s12dsrc,s12dsrc: s death date source
2,2.core interview of respondent's spouse/partner,HRS,s12dsrc,s12dsrc: s death date source
3,3.date respondent was reported deceased during field activity,HRS,s12dsrc,s12dsrc: s death date source
4,4.imputed date,HRS,s12dsrc,s12dsrc: s death date source
,.m=missing death source,HRS,s12dsrc,s12dsrc: s death date source
,.u=unmarried,HRS,s12dsrc,s12dsrc: s death date source
,.v=spouse nr,HRS,s12dsrc,s12dsrc: s death date source
,.x=no death date,HRS,s12dsrc,s12dsrc: s death date source
1,1.respondent's exit interview,HRS,s13dsrc,s13dsrc: s death date source
2,2.core interview of respondent's spouse/partner,HRS,s13dsrc,s13dsrc: s death date source
3,3.date respondent was reported deceased during field activity,HRS,s13dsrc,s13dsrc: s death date source
4,4.imputed date,HRS,s13dsrc,s13dsrc: s death date source
,.m=missing death source,HRS,s13dsrc,s13dsrc: s death date source
,.u=unmarried,HRS,s13dsrc,s13dsrc: s death date source
,.v=spouse nr,HRS,s13dsrc,s13dsrc: s death date source
,.x=no death date,HRS,s13dsrc,s13dsrc: s death date source
1,1.respondent's exit interview,HRS,s14dsrc,s14dsrc: s death date source
2,2.core interview of respondent's spouse/partner,HRS,s14dsrc,s14dsrc: s death date source
3,3.date respondent was reported deceased during field activity,HRS,s14dsrc,s14dsrc: s death date source
4,4.imputed date,HRS,s14dsrc,s14dsrc: s death date source
,.m=missing death source,HRS,s14dsrc,s14dsrc: s death date source
,.u=unmarried,HRS,s14dsrc,s14dsrc: s death date source
,.v=spouse nr,HRS,s14dsrc,s14dsrc: s death date source
,.x=no death date,HRS,s14dsrc,s14dsrc: s death date source
1,1.respondent's exit interview,HRS,s15dsrc,s15dsrc: s death date source
2,2.core interview of respondent's spouse/partner,HRS,s15dsrc,s15dsrc: s death date source
3,3.date respondent was reported deceased during field activity,HRS,s15dsrc,s15dsrc: s death date source
4,4.imputed date,HRS,s15dsrc,s15dsrc: s death date source
,.m=missing death source,HRS,s15dsrc,s15dsrc: s death date source
,.u=unmarried,HRS,s15dsrc,s15dsrc: s death date source
,.v=spouse nr,HRS,s15dsrc,s15dsrc: s death date source
,.x=no death date,HRS,s15dsrc,s15dsrc: s death date source
1,1.respondent's exit interview,HRS,s16dsrc,s16dsrc: s death date source
2,2.core interview of respondent's spouse/partner,HRS,s16dsrc,s16dsrc: s death date source
3,3.date respondent was reported deceased during field activity,HRS,s16dsrc,s16dsrc: s death date source
4,4.imputed date,HRS,s16dsrc,s16dsrc: s death date source
,.m=missing death source,HRS,s16dsrc,s16dsrc: s death date source
,.u=unmarried,HRS,s16dsrc,s16dsrc: s death date source
,.v=spouse nr,HRS,s16dsrc,s16dsrc: s death date source
,.x=no death date,HRS,s16dsrc,s16dsrc: s death date source
1,1.respondent's exit interview,HRS,radsrc,radsrc: r death date source
2,2.core interview of respondent's spouse/partner,HRS,radsrc,radsrc: r death date source
3,3.date respondent was reported deceased during field activity,HRS,radsrc,radsrc: r death date source
4,4.imputed date,HRS,radsrc,radsrc: r death date source
,.m=missing death source,HRS,radsrc,radsrc: r death date source
,.u=unmarried,HRS,radsrc,radsrc: r death date source
,.v=spouse nr,HRS,radsrc,radsrc: r death date source
,.x=no death date,HRS,radsrc,radsrc: r death date source
1,1.new england,HRS,recendiv,"recendiv:exit census division, place of death"
2,2.mid atlantic,HRS,recendiv,"recendiv:exit census division, place of death"
3,3.en central,HRS,recendiv,"recendiv:exit census division, place of death"
4,4.wn central,HRS,recendiv,"recendiv:exit census division, place of death"
5,5.s atlantic,HRS,recendiv,"recendiv:exit census division, place of death"
6,6.es central,HRS,recendiv,"recendiv:exit census division, place of death"
7,7.ws central,HRS,recendiv,"recendiv:exit census division, place of death"
8,8.mountain,HRS,recendiv,"recendiv:exit census division, place of death"
9,9.pacific,HRS,recendiv,"recendiv:exit census division, place of death"
10,10.us/na division,HRS,recendiv,"recendiv:exit census division, place of death"
11,11.not us/inc us terr,HRS,recendiv,"recendiv:exit census division, place of death"
,.d=dk/na,HRS,recendiv,"recendiv:exit census division, place of death"
,.m=oth missing,HRS,recendiv,"recendiv:exit census division, place of death"
,.q=not asked this wv,HRS,recendiv,"recendiv:exit census division, place of death"
,.r=rf,HRS,recendiv,"recendiv:exit census division, place of death"
,".y=no exit interview, no death recorded",HRS,recendiv,"recendiv:exit census division, place of death"
,".z=no exit interview, death recorded",HRS,recendiv,"recendiv:exit census division, place of death"
1,1.northeast,HRS,recenreg,"recenreg:exit census region, place of death"
2,2.midwest,HRS,recenreg,"recenreg:exit census region, place of death"
3,3.south,HRS,recenreg,"recenreg:exit census region, place of death"
4,4.west,HRS,recenreg,"recenreg:exit census region, place of death"
5,5.other,HRS,recenreg,"recenreg:exit census region, place of death"
,.d=dk/na,HRS,recenreg,"recenreg:exit census region, place of death"
,.m=oth missing,HRS,recenreg,"recenreg:exit census region, place of death"
,.q=not asked this wv,HRS,recenreg,"recenreg:exit census region, place of death"
,.r=rf,HRS,recenreg,"recenreg:exit census region, place of death"
,".y=no exit interview, no death recorded",HRS,recenreg,"recenreg:exit census region, place of death"
,".z=no exit interview, death recorded",HRS,recenreg,"recenreg:exit census region, place of death"
0,0. no,HRS,reproxysp,reproxysp:exit proxy is spouse
1,1. yes,HRS,reproxysp,reproxysp:exit proxy is spouse
,".y=no exit interview, no death recorded",HRS,reproxysp,reproxysp:exit proxy is spouse
,".z=no exit interview, death recorded",HRS,reproxysp,reproxysp:exit proxy is spouse
2,2. spouse/partner,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
3,3. son,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
4,4. stepson or son of partner,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
5,5. spouse/partner of daughter,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
6,6. daughter,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
7,7. stepdaughter or daughter of partner,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
8,8. spouse/partner of son,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
9,9. grandchild of r or sp/p,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
15,15. brother,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
17,17. sister,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
19,19. other relative,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
20,20. other individual,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
23,23. paid helper,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
24,24. professional,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
33,33. sp/p of grandchild,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
,.d=dk,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
,.m=oth missing,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
,.r=rf,HRS,reproxyrel,reproxyrel:exit proxy relationship to r
,".y=no exit interview, no death recorded",HRS,reproxyrel,reproxyrel:exit proxy relationship to r
,".z=no exit interview, death recorded",HRS,reproxyrel,reproxyrel:exit proxy relationship to r
1,1.married,HRS,remstat,remstat:exit r marital status
2,"2.married,spouse absent",HRS,remstat,remstat:exit r marital status
3,3.partnered,HRS,remstat,remstat:exit r marital status
4,4.separated,HRS,remstat,remstat:exit r marital status
5,5.divorced,HRS,remstat,remstat:exit r marital status
6,6.separated/divorced,HRS,remstat,remstat:exit r marital status
7,7.widowed,HRS,remstat,remstat:exit r marital status
8,8.never married,HRS,remstat,remstat:exit r marital status
,.d=dk,HRS,remstat,remstat:exit r marital status
,.m=oth missing,HRS,remstat,remstat:exit r marital status
,.r=rf,HRS,remstat,remstat:exit r marital status
,".y=no exit interview, no death recorded",HRS,remstat,remstat:exit r marital status
,".z=no exit interview, death recorded",HRS,remstat,remstat:exit r marital status
0,0. no,HRS,rempart,rempart:exit r partnered
1,1. yes,HRS,rempart,rempart:exit r partnered
,".y=no exit interview, no death recorded",HRS,rempart,rempart:exit r partnered
,".z=no exit interview, death recorded",HRS,rempart,rempart:exit r partnered
1,1.married,HRS,remstath,"remstath:exit r marstat-w/o part,filled"
2,"2.married,spouse absent",HRS,remstath,"remstath:exit r marstat-w/o part,filled"
4,4.separated,HRS,remstath,"remstath:exit r marstat-w/o part,filled"
5,5.divorced,HRS,remstath,"remstath:exit r marstat-w/o part,filled"
6,6.separated/divorced,HRS,remstath,"remstath:exit r marstat-w/o part,filled"
7,7.widowed,HRS,remstath,"remstath:exit r marstat-w/o part,filled"
8,8.never married,HRS,remstath,"remstath:exit r marstat-w/o part,filled"
9,9.unknown unmar,HRS,remstath,"remstath:exit r marstat-w/o part,filled"
,.d=dk,HRS,remstath,"remstath:exit r marstat-w/o part,filled"
,.m=oth missing,HRS,remstath,"remstath:exit r marstat-w/o part,filled"
,.r=rf,HRS,remstath,"remstath:exit r marstat-w/o part,filled"
,".y=no exit interview, no death recorded",HRS,remstath,"remstath:exit r marstat-w/o part,filled"
,".z=no exit interview, death recorded",HRS,remstath,"remstath:exit r marstat-w/o part,filled"
0,0.ivw beg dt=end dt,HRS,reiwmidf,reiwmidf:exit interview midpt date flag
1,1.ivw beg day ne end day,HRS,reiwmidf,reiwmidf:exit interview midpt date flag
2,2.ivw beg dt ne end dt,HRS,reiwmidf,reiwmidf:exit interview midpt date flag
,.u=unmarried,HRS,reiwmidf,reiwmidf:exit interview midpt date flag
,.v=spouse nr,HRS,reiwmidf,reiwmidf:exit interview midpt date flag
,".y=no exit interview, no death recorded",HRS,reiwmidf,reiwmidf:exit interview midpt date flag
,".z=no exit interview, death recorded",HRS,reiwmidf,reiwmidf:exit interview midpt date flag
0,0.no,HRS,s3deptho,s3deptho:w3 s thoughts about death
1,1.yes,HRS,s3deptho,s3deptho:w3 s thoughts about death
,.d=dk/na,HRS,s3deptho,s3deptho:w3 s thoughts about death
,".j=web interview, missing",HRS,s3deptho,s3deptho:w3 s thoughts about death
,.m=oth missing,HRS,s3deptho,s3deptho:w3 s thoughts about death
,.p=answered prev wv,HRS,s3deptho,s3deptho:w3 s thoughts about death
,.r=rf,HRS,s3deptho,s3deptho:w3 s thoughts about death
,.s=skip,HRS,s3deptho,s3deptho:w3 s thoughts about death
,.u=unmarried,HRS,s3deptho,s3deptho:w3 s thoughts about death
,.v=spouse nr,HRS,s3deptho,s3deptho:w3 s thoughts about death
0,0.no,HRS,s4deptho,s4deptho:w4 s thoughts about death
1,1.yes,HRS,s4deptho,s4deptho:w4 s thoughts about death
,.d=dk/na,HRS,s4deptho,s4deptho:w4 s thoughts about death
,".j=web interview, missing",HRS,s4deptho,s4deptho:w4 s thoughts about death
,.m=oth missing,HRS,s4deptho,s4deptho:w4 s thoughts about death
,.p=answered prev wv,HRS,s4deptho,s4deptho:w4 s thoughts about death
,.r=rf,HRS,s4deptho,s4deptho:w4 s thoughts about death
,.s=skip,HRS,s4deptho,s4deptho:w4 s thoughts about death
,.u=unmarried,HRS,s4deptho,s4deptho:w4 s thoughts about death
,.v=spouse nr,HRS,s4deptho,s4deptho:w4 s thoughts about death
0,0.no,HRS,s5deptho,s5deptho:w5 s thoughts about death
1,1.yes,HRS,s5deptho,s5deptho:w5 s thoughts about death
,.d=dk/na,HRS,s5deptho,s5deptho:w5 s thoughts about death
,".j=web interview, missing",HRS,s5deptho,s5deptho:w5 s thoughts about death
,.m=oth missing,HRS,s5deptho,s5deptho:w5 s thoughts about death
,.p=answered prev wv,HRS,s5deptho,s5deptho:w5 s thoughts about death
,.r=rf,HRS,s5deptho,s5deptho:w5 s thoughts about death
,.s=skip,HRS,s5deptho,s5deptho:w5 s thoughts about death
,.u=unmarried,HRS,s5deptho,s5deptho:w5 s thoughts about death
,.v=spouse nr,HRS,s5deptho,s5deptho:w5 s thoughts about death
0,0.no,HRS,s6deptho,s6deptho:w6 s thoughts about death
1,1.yes,HRS,s6deptho,s6deptho:w6 s thoughts about death
,.d=dk/na,HRS,s6deptho,s6deptho:w6 s thoughts about death
,".j=web interview, missing",HRS,s6deptho,s6deptho:w6 s thoughts about death
,.m=oth missing,HRS,s6deptho,s6deptho:w6 s thoughts about death
,.p=answered prev wv,HRS,s6deptho,s6deptho:w6 s thoughts about death
,.r=rf,HRS,s6deptho,s6deptho:w6 s thoughts about death
,.s=skip,HRS,s6deptho,s6deptho:w6 s thoughts about death
,.u=unmarried,HRS,s6deptho,s6deptho:w6 s thoughts about death
,.v=spouse nr,HRS,s6deptho,s6deptho:w6 s thoughts about death
0,0.no,HRS,s7deptho,s7deptho:w7 s thoughts about death
1,1.yes,HRS,s7deptho,s7deptho:w7 s thoughts about death
,.d=dk/na,HRS,s7deptho,s7deptho:w7 s thoughts about death
,".j=web interview, missing",HRS,s7deptho,s7deptho:w7 s thoughts about death
,.m=oth missing,HRS,s7deptho,s7deptho:w7 s thoughts about death
,.p=answered prev wv,HRS,s7deptho,s7deptho:w7 s thoughts about death
,.r=rf,HRS,s7deptho,s7deptho:w7 s thoughts about death
,.s=skip,HRS,s7deptho,s7deptho:w7 s thoughts about death
,.u=unmarried,HRS,s7deptho,s7deptho:w7 s thoughts about death
,.v=spouse nr,HRS,s7deptho,s7deptho:w7 s thoughts about death
0,0.no,HRS,s8deptho,s8deptho:w8 s thoughts about death
1,1.yes,HRS,s8deptho,s8deptho:w8 s thoughts about death
,.d=dk/na,HRS,s8deptho,s8deptho:w8 s thoughts about death
,".j=web interview, missing",HRS,s8deptho,s8deptho:w8 s thoughts about death
,.m=oth missing,HRS,s8deptho,s8deptho:w8 s thoughts about death
,.p=answered prev wv,HRS,s8deptho,s8deptho:w8 s thoughts about death
,.r=rf,HRS,s8deptho,s8deptho:w8 s thoughts about death
,.s=skip,HRS,s8deptho,s8deptho:w8 s thoughts about death
,.u=unmarried,HRS,s8deptho,s8deptho:w8 s thoughts about death
,.v=spouse nr,HRS,s8deptho,s8deptho:w8 s thoughts about death
0,0.no,HRS,s9deptho,s9deptho:w9 s thoughts about death
1,1.yes,HRS,s9deptho,s9deptho:w9 s thoughts about death
,.d=dk/na,HRS,s9deptho,s9deptho:w9 s thoughts about death
,".j=web interview, missing",HRS,s9deptho,s9deptho:w9 s thoughts about death
,.m=oth missing,HRS,s9deptho,s9deptho:w9 s thoughts about death
,.p=answered prev wv,HRS,s9deptho,s9deptho:w9 s thoughts about death
,.r=rf,HRS,s9deptho,s9deptho:w9 s thoughts about death
,.s=skip,HRS,s9deptho,s9deptho:w9 s thoughts about death
,.u=unmarried,HRS,s9deptho,s9deptho:w9 s thoughts about death
,.v=spouse nr,HRS,s9deptho,s9deptho:w9 s thoughts about death
0,0.no,HRS,s10deptho,s10deptho:w10 s thoughts about death
1,1.yes,HRS,s10deptho,s10deptho:w10 s thoughts about death
,.d=dk/na,HRS,s10deptho,s10deptho:w10 s thoughts about death
,".j=web interview, missing",HRS,s10deptho,s10deptho:w10 s thoughts about death
,.m=oth missing,HRS,s10deptho,s10deptho:w10 s thoughts about death
,.p=answered prev wv,HRS,s10deptho,s10deptho:w10 s thoughts about death
,.r=rf,HRS,s10deptho,s10deptho:w10 s thoughts about death
,.s=skip,HRS,s10deptho,s10deptho:w10 s thoughts about death
,.u=unmarried,HRS,s10deptho,s10deptho:w10 s thoughts about death
,.v=spouse nr,HRS,s10deptho,s10deptho:w10 s thoughts about death
0,0.no,HRS,s11deptho,s11deptho:w11 s thoughts about death
1,1.yes,HRS,s11deptho,s11deptho:w11 s thoughts about death
,.d=dk/na,HRS,s11deptho,s11deptho:w11 s thoughts about death
,".j=web interview, missing",HRS,s11deptho,s11deptho:w11 s thoughts about death
,.m=oth missing,HRS,s11deptho,s11deptho:w11 s thoughts about death
,.p=answered prev wv,HRS,s11deptho,s11deptho:w11 s thoughts about death
,.r=rf,HRS,s11deptho,s11deptho:w11 s thoughts about death
,.s=skip,HRS,s11deptho,s11deptho:w11 s thoughts about death
,.u=unmarried,HRS,s11deptho,s11deptho:w11 s thoughts about death
,.v=spouse nr,HRS,s11deptho,s11deptho:w11 s thoughts about death
0,0.no,HRS,s12deptho,s12deptho:w12 s thoughts about death
1,1.yes,HRS,s12deptho,s12deptho:w12 s thoughts about death
,.d=dk/na,HRS,s12deptho,s12deptho:w12 s thoughts about death
,".j=web interview, missing",HRS,s12deptho,s12deptho:w12 s thoughts about death
,.m=oth missing,HRS,s12deptho,s12deptho:w12 s thoughts about death
,.p=answered prev wv,HRS,s12deptho,s12deptho:w12 s thoughts about death
,.r=rf,HRS,s12deptho,s12deptho:w12 s thoughts about death
,.s=skip,HRS,s12deptho,s12deptho:w12 s thoughts about death
,.u=unmarried,HRS,s12deptho,s12deptho:w12 s thoughts about death
,.v=spouse nr,HRS,s12deptho,s12deptho:w12 s thoughts about death
0,0.no,HRS,s13deptho,s13deptho:w13 s thoughts about death
1,1.yes,HRS,s13deptho,s13deptho:w13 s thoughts about death
,.d=dk/na,HRS,s13deptho,s13deptho:w13 s thoughts about death
,".j=web interview, missing",HRS,s13deptho,s13deptho:w13 s thoughts about death
,.m=oth missing,HRS,s13deptho,s13deptho:w13 s thoughts about death
,.p=answered prev wv,HRS,s13deptho,s13deptho:w13 s thoughts about death
,.r=rf,HRS,s13deptho,s13deptho:w13 s thoughts about death
,.s=skip,HRS,s13deptho,s13deptho:w13 s thoughts about death
,.u=unmarried,HRS,s13deptho,s13deptho:w13 s thoughts about death
,.v=spouse nr,HRS,s13deptho,s13deptho:w13 s thoughts about death
0,0.no,HRS,s14deptho,s14deptho:w14 s thoughts about death
1,1.yes,HRS,s14deptho,s14deptho:w14 s thoughts about death
,.d=dk/na,HRS,s14deptho,s14deptho:w14 s thoughts about death
,".j=web interview, missing",HRS,s14deptho,s14deptho:w14 s thoughts about death
,.m=oth missing,HRS,s14deptho,s14deptho:w14 s thoughts about death
,.p=answered prev wv,HRS,s14deptho,s14deptho:w14 s thoughts about death
,.r=rf,HRS,s14deptho,s14deptho:w14 s thoughts about death
,.s=skip,HRS,s14deptho,s14deptho:w14 s thoughts about death
,.u=unmarried,HRS,s14deptho,s14deptho:w14 s thoughts about death
,.v=spouse nr,HRS,s14deptho,s14deptho:w14 s thoughts about death
0,0.no,HRS,s15deptho,s15deptho:w15 s thoughts about death
1,1.yes,HRS,s15deptho,s15deptho:w15 s thoughts about death
,.d=dk/na,HRS,s15deptho,s15deptho:w15 s thoughts about death
,".j=web interview, missing",HRS,s15deptho,s15deptho:w15 s thoughts about death
,.m=oth missing,HRS,s15deptho,s15deptho:w15 s thoughts about death
,.p=answered prev wv,HRS,s15deptho,s15deptho:w15 s thoughts about death
,.r=rf,HRS,s15deptho,s15deptho:w15 s thoughts about death
,.s=skip,HRS,s15deptho,s15deptho:w15 s thoughts about death
,.u=unmarried,HRS,s15deptho,s15deptho:w15 s thoughts about death
,.v=spouse nr,HRS,s15deptho,s15deptho:w15 s thoughts about death
0,0.no,HRS,s16deptho,s16deptho:w16 s thoughts about death
1,1.yes,HRS,s16deptho,s16deptho:w16 s thoughts about death
,.d=dk/na,HRS,s16deptho,s16deptho:w16 s thoughts about death
,".j=web interview, missing",HRS,s16deptho,s16deptho:w16 s thoughts about death
,.m=oth missing,HRS,s16deptho,s16deptho:w16 s thoughts about death
,.p=answered prev wv,HRS,s16deptho,s16deptho:w16 s thoughts about death
,.r=rf,HRS,s16deptho,s16deptho:w16 s thoughts about death
,.s=skip,HRS,s16deptho,s16deptho:w16 s thoughts about death
,.u=unmarried,HRS,s16deptho,s16deptho:w16 s thoughts about death
,.v=spouse nr,HRS,s16deptho,s16deptho:w16 s thoughts about death
0,0.no,HRS,r3deptho,r3deptho:w3 r thoughts about death
1,1.yes,HRS,r3deptho,r3deptho:w3 r thoughts about death
,.d=dk/na,HRS,r3deptho,r3deptho:w3 r thoughts about death
,".j=web interview, missing",HRS,r3deptho,r3deptho:w3 r thoughts about death
,.m=oth missing,HRS,r3deptho,r3deptho:w3 r thoughts about death
,.p=answered prev wv,HRS,r3deptho,r3deptho:w3 r thoughts about death
,.r=rf,HRS,r3deptho,r3deptho:w3 r thoughts about death
,.s=skip,HRS,r3deptho,r3deptho:w3 r thoughts about death
,.u=unmarried,HRS,r3deptho,r3deptho:w3 r thoughts about death
,.v=spouse nr,HRS,r3deptho,r3deptho:w3 r thoughts about death
0,0.no,HRS,r4deptho,r4deptho:w4 r thoughts about death
1,1.yes,HRS,r4deptho,r4deptho:w4 r thoughts about death
,.d=dk/na,HRS,r4deptho,r4deptho:w4 r thoughts about death
,".j=web interview, missing",HRS,r4deptho,r4deptho:w4 r thoughts about death
,.m=oth missing,HRS,r4deptho,r4deptho:w4 r thoughts about death
,.p=answered prev wv,HRS,r4deptho,r4deptho:w4 r thoughts about death
,.r=rf,HRS,r4deptho,r4deptho:w4 r thoughts about death
,.s=skip,HRS,r4deptho,r4deptho:w4 r thoughts about death
,.u=unmarried,HRS,r4deptho,r4deptho:w4 r thoughts about death
,.v=spouse nr,HRS,r4deptho,r4deptho:w4 r thoughts about death
0,0.no,HRS,r5deptho,r5deptho:w5 r thoughts about death
1,1.yes,HRS,r5deptho,r5deptho:w5 r thoughts about death
,.d=dk/na,HRS,r5deptho,r5deptho:w5 r thoughts about death
,".j=web interview, missing",HRS,r5deptho,r5deptho:w5 r thoughts about death
,.m=oth missing,HRS,r5deptho,r5deptho:w5 r thoughts about death
,.p=answered prev wv,HRS,r5deptho,r5deptho:w5 r thoughts about death
,.r=rf,HRS,r5deptho,r5deptho:w5 r thoughts about death
,.s=skip,HRS,r5deptho,r5deptho:w5 r thoughts about death
,.u=unmarried,HRS,r5deptho,r5deptho:w5 r thoughts about death
,.v=spouse nr,HRS,r5deptho,r5deptho:w5 r thoughts about death
0,0.no,HRS,r6deptho,r6deptho:w6 r thoughts about death
1,1.yes,HRS,r6deptho,r6deptho:w6 r thoughts about death
,.d=dk/na,HRS,r6deptho,r6deptho:w6 r thoughts about death
,".j=web interview, missing",HRS,r6deptho,r6deptho:w6 r thoughts about death
,.m=oth missing,HRS,r6deptho,r6deptho:w6 r thoughts about death
,.p=answered prev wv,HRS,r6deptho,r6deptho:w6 r thoughts about death
,.r=rf,HRS,r6deptho,r6deptho:w6 r thoughts about death
,.s=skip,HRS,r6deptho,r6deptho:w6 r thoughts about death
,.u=unmarried,HRS,r6deptho,r6deptho:w6 r thoughts about death
,.v=spouse nr,HRS,r6deptho,r6deptho:w6 r thoughts about death
0,0.no,HRS,r7deptho,r7deptho:w7 r thoughts about death
1,1.yes,HRS,r7deptho,r7deptho:w7 r thoughts about death
,.d=dk/na,HRS,r7deptho,r7deptho:w7 r thoughts about death
