cohort,wave,domain,item,variable,available,variable_label
MHAS,3,IADL,meal,r3mealsa,TRUE,r3mealsa: w3 R Some difficulty-Preparing hot meals
MHAS,3,IADL,medication,r3medsa,TRUE,r3medsa: w3 R Some difficulty-Taking medications
MHAS,3,IADL,money,r3moneya,TRUE,r3moneya: w3 R Some difficulty-Managing money
MHAS,3,IADL,shopping,r3shopa,TRUE,r3shopa: w3 R Some difficulty-Shopping for groceries
MHAS,3,IADL,telephone,r3phonea,FALSE,""
MHAS,4,ADL,bath,r4batha,TRUE,r4batha: w4 R Some difficulty-Bathing or showering
MHAS,4,ADL,bed,r4beda,TRUE,r4beda: w4 R Some difficulty-Getting in/out of bed
MHAS,4,ADL,dress,r4dressa,TRUE,r4dressa: w4 R Some difficulty-Dressing
MHAS,4,ADL,eat,r4eata,TRUE,r4eata: w4 R Some difficulty-Eating
MHAS,4,ADL,toilet,r4toilta,TRUE,r4toilta: w4 R Some difficulty-Using the toilet
MHAS,4,IADL,meal,r4mealsa,TRUE,r4mealsa: w4 R Some difficulty-Preparing hot meals
MHAS,4,IADL,medication,r4medsa,TRUE,r4medsa: w4 R Some difficulty-Taking medications
MHAS,4,IADL,money,r4moneya,TRUE,r4moneya: w4 R Some difficulty-Managing money
MHAS,4,IADL,shopping,r4shopa,TRUE,r4shopa: w4 R Some difficulty-Shopping for groceries
MHAS,4,IADL,telephone,r4phonea,FALSE,""
MHAS,5,ADL,bath,r5batha,TRUE,r5batha: w5 R Some difficulty-Bathing or showering
MHAS,5,ADL,bed,r5beda,TRUE,r5beda: w5 R Some difficulty-Getting in/out of bed
MHAS,5,ADL,dress,r5dressa,TRUE,r5dressa: w5 R Some difficulty-Dressing
MHAS,5,ADL,eat,r5eata,TRUE,r5eata: w5 R Some difficulty-Eating
MHAS,5,ADL,toilet,r5toilta,TRUE,r5toilta: w5 R Some difficulty-Using the toilet
MHAS,5,IADL,meal,r5mealsa,TRUE,r5mealsa: w5 R Some difficulty-Preparing hot meals
MHAS,5,IADL,medication,r5medsa,TRUE,r5medsa: w5 R Some difficulty-Taking medications
MHAS,5,IADL,money,r5moneya,TRUE,r5moneya: w5 R Some difficulty-Managing money
MHAS,5,IADL,shopping,r5shopa,TRUE,r5shopa: w5 R Some difficulty-Shopping for groceries
MHAS,5,IADL,telephone,r5phonea,FALSE,""
MHAS,6,ADL,bath,r6batha,TRUE,r6batha: w6 R Some difficulty-Bathing or showering
MHAS,6,ADL,bed,r6beda,TRUE,r6beda: w6 R Some difficulty-Getting in/out of bed
MHAS,6,ADL,dress,r6dressa,TRUE,r6dressa: w6 R Some difficulty-Dressing
MHAS,6,ADL,eat,r6eata,TRUE,r6eata: w6 R Some difficulty-Eating
MHAS,6,ADL,toilet,r6toilta,TRUE,r6toilta: w6 R Some difficulty-Using the toilet
MHAS,6,IADL,meal,r6mealsa,TRUE,r6mealsa: w6 R Some difficulty-Preparing hot meals
MHAS,6,IADL,medication,r6medsa,TRUE,r6medsa: w6 R Some difficulty-Taking medications
MHAS,6,IADL,money,r6moneya,TRUE,r6moneya: w6 R Some difficulty-Managing money
MHAS,6,IADL,shopping,r6shopa,TRUE,r6shopa: w6 R Some difficulty-Shopping for groceries
MHAS,6,IADL,telephone,r6phonea,FALSE,""
